CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,NOTES,Notes_list,Notes_list_string
G#,m7b5,1;b3;b5;b7,"G#,B,D,F#","['G#', 'B', 'D', 'F#']","['G#', 'B', 'D', 'F#']"
G#,m,1;b3;5,"G#,B,D#","['G#', 'B', 'D#']","['G#', 'B', 'D#']"
G#,m7,1;b3;5;b7,"G#,B,D#,F#","['G#', 'B', 'D#', 'F#']","['G#', 'B', 'D#', 'F#']"
G#,mM7,1;b3;5;7,"G#,B,D#,F##","['G#', 'B', 'D#', 'F##']","['G#', 'B', 'D#', 'F##']"
G#,dim,1;b3;b5,"G#,B,D","['G#', 'B', 'D']","['G#', 'B', 'D']"
G#,6,1;3;5;6,"G#,B#,D#,E#","['G#', 'B#', 'D#', 'E#']","['G#', 'B#', 'D#', 'E#']"
G#,7sus4,1;4;5;b7,"G#,C#,D#,F#","['G#', 'C#', 'D#', 'F#']","['G#', 'C#', 'D#', 'F#']"
G#,maj7,1;3;5;7,"G#,B#,D#,F##","['G#', 'B#', 'D#', 'F##']","['G#', 'B#', 'D#', 'F##']"
G#,5,1;5,"G#,D#","['G#', 'D#']","['G#', 'D#']"
G#,m6,1;b3;5;6,"G#,B,D#,E#","['G#', 'B', 'D#', 'E#']","['G#', 'B', 'D#', 'E#']"
G#,sus4,1;4;5,"G#,C#,D#","['G#', 'C#', 'D#']","['G#', 'C#', 'D#']"
A,7,1;3;5;b7,"A,C#,E,G","['A', 'C#', 'E', 'G']","['A', 'C#', 'E', 'G']"
A,dim7,1;b3;b5;bb7,"A,C,Eb,Gb","['A', 'C', 'Eb', 'Gb']","['A', 'C', 'Eb', 'Gb']"
A,+,1;3;#5,"A,C#,E#","['A', 'C#', 'E#']","['A', 'C#', 'E#']"
A,maj,1;3;5,"A,C#,E","['A', 'C#', 'E']","['A', 'C#', 'E']"
A,sus2,1;2;5,"A,B,E","['A', 'B', 'E']","['A', 'B', 'E']"
A,add2,1;3;5;9,"A,C#,E,B","['A', 'C#', 'E', 'B']","['A', 'C#', 'E', 'B']"
A,m7b5,1;b3;b5;b7,"A,C,Eb,G","['A', 'C', 'Eb', 'G']","['A', 'C', 'Eb', 'G']"
A,m,1;b3;5,"A,C,E","['A', 'C', 'E']","['A', 'C', 'E']"
A,m7,1;b3;5;b7,"A,C,E,G","['A', 'C', 'E', 'G']","['A', 'C', 'E', 'G']"
A,mM7,1;b3;5;7,"A,C,E,G#","['A', 'C', 'E', 'G#']","['A', 'C', 'E', 'G#']"
A,dim,1;b3;b5,"A,C,Eb","['A', 'C', 'Eb']","['A', 'C', 'Eb']"
A,6,1;3;5;6,"A,C#,E,F#","['A', 'C#', 'E', 'F#']","['A', 'C#', 'E', 'F#']"
A,7sus4,1;4;5;b7,"A,D,E,G","['A', 'D', 'E', 'G']","['A', 'D', 'E', 'G']"
A,maj7,1;3;5;7,"A,C#,E,G#","['A', 'C#', 'E', 'G#']","['A', 'C#', 'E', 'G#']"
A,5,1;5,"A,E","['A', 'E']","['A', 'E']"
A,m6,1;b3;5;6,"A,C,E,F#","['A', 'C', 'E', 'F#']","['A', 'C', 'E', 'F#']"
A,sus4,1;4;5,"A,D,E","['A', 'D', 'E']","['A', 'D', 'E']"
B,7,1;3;5;b7,"B,D#,F#,A","['B', 'D#', 'F#', 'A']","['B', 'D#', 'F#', 'A']"
B,dim7,1;b3;b5;bb7,"B,D,F,Ab","['B', 'D', 'F', 'Ab']","['B', 'D', 'F', 'Ab']"
